,leads_eps_pct,leads_rev_pct,inputs_eps_pct,inputs_rev_pct,outputs_eps_pct,outputs_rev_pct,ticker,date,impact_pre_lead,impact_pre_input,impact_pre_out,impact_post_lead,impact_post_input,impact_post_out
56966,0.0,0.0,0.0,0.0,0.0,0.0,CIEN,2026-09-03,0.0,0.012322902692217044,-0.001974546484362393,0.0,0.00299077862940803,-0.0008685135240305017
56969,0.27668872097579045,0.007091519527432264,0.0006574093180994728,3.801141580492716e-05,0.0,0.0,BRC,2026-09-03,-0.006129201742354436,-0.003326977987646739,0.0,0.003983481780655564,-0.0014022157399173761,0.0
56965,-0.02824267592374676,-0.030645042127559433,0.0,0.0,0.0,0.0,CPB,2026-09-03,0.003954664966316947,-0.002606339268511654,-0.0008737086459131183,0.0018223526987123926,-0.0022425238104713135,-0.0015876196980202674
56968,0.27434675039457473,0.016958562056645334,0.0017348044149872203,0.00024626622790520873,0.11160104270464885,0.006736367085367039,DOO,2026-09-03,-0.006321857357263401,0.006504740205277179,-0.00229033768261108,-0.0027923232812026404,0.0016534935840851685,-0.001643121716155031
56962,0.05480099885480188,-0.0008292298934808854,-0.0004744955537086036,0.00010508631903607808,2.860821752214794e-05,-0.000577456637807273,TTC,2026-09-03,0.003067085358480424,0.011454604184954245,0.006766006275714202,-0.004550815281689048,0.0031283000637225902,0.001365891795800683
56964,0.04965043442580497,0.05399637918739866,-0.00012202593315161078,0.00029211561817555774,0.0,0.0,WLY,2026-09-03,0.026211282101738995,-0.0033885066161788036,0.0,0.0023368082902470028,-0.0014140711240851766,0.0
56967,0.25356079033992157,0.01818395546211033,-0.0008063508187679209,-9.284135936092254e-05,0.10301130424081137,0.006468004657703555,ZGN,2026-09-03,-0.00625016454471815,-0.0025860212379181925,-0.002638517194159328,-0.0031235582119802305,-0.002269198854754975,-0.0017371647638907933
56970,0.12983488265192702,0.04794907029580983,0.0,0.0,0.0008680157137836589,0.0005060566810418741,MOMO,2026-09-03,0.018320832336934503,0.012322902692217044,-0.0019745464843623933,0.0029394490120166596,0.0029907786294080313,-0.0008685135240305017
56963,0.0,0.0,0.0,0.0,0.0,0.0,PSNY,2026-09-03,0.0,0.007498036966960376,-0.002853220455627773,0.0,0.0012125591100082588,-0.001514703850273187
56959,-0.19505664527084493,0.03548878788406347,0.001038047976155359,0.0001621839060181193,0.007856071020218614,0.00019989095392503384,DOCU,2026-09-03,-0.007872892810006008,0.012322902692217044,-0.001974546484362393,-0.004291046090470345,0.0029907786294080304,-0.0008685135240305016
56953,-0.1789388623445095,0.03501834040420684,0.001038047976155359,0.0001621839060181193,0.007856071020218614,0.00019989095392503384,GWRE,2026-09-03,-0.007113679067887595,0.012322902692217044,-0.001974546484362393,-0.004101326662200492,0.0029907786294080304,-0.0008685135240305016
56955,-0.17067328012181388,0.03480897933847405,0.001038047976155359,0.0001621839060181193,0.007856071020218614,0.00019989095392503384,IOT,2026-09-03,-0.007922323940828379,0.012322902692217044,-0.001974546484362393,-0.005052496680516141,0.0029907786294080304,-0.0008685135240305016
56960,0.2332635492129568,0.020058328856601474,0.0008289095764068509,0.00023704159295613264,0.0,0.0,LULU,2026-09-03,-0.006174799309188243,-0.00281584145267319,0.0,-0.003978269793578789,-0.0010028161590776524,0.0
56961,-0.14681157125792232,0.03451078669917169,0.001038047976155359,0.0001621839060181193,0.007856071020218614,0.00019989095392503384,ZS,2026-09-03,-0.007680187228678501,0.012322902692217044,-0.001974546484362393,-0.005152819918654576,0.0029907786294080304,-0.0008685135240305016
56956,0.3556900262397816,0.04166574458984723,0.0,0.0,-0.001164414413937415,0.0001509399484009446,AMBA,2026-09-03,0.029658674253581586,0.004971231374014379,-0.003246828806751001,0.0025569787637297267,0.0012456272214266704,-0.0013015425920572885
56957,-0.024077538842959646,0.029906905396023118,0.001038047976155359,0.0001621839060181193,0.007856071020218614,0.00019989095392503384,ASAN,2026-09-03,-0.009825075940666134,0.012322902692217044,-0.001974546484362393,-0.0009030339547838116,0.0029907786294080304,-0.0008685135240305016
56954,-0.1509000514803582,0.03158762596541348,0.001038047976155359,0.0001621839060181193,0.007856071020218614,0.00019989095392503384,PATH,2026-09-03,-0.008232195634183584,0.012322902692217044,-0.001974546484362393,-0.003086249306518786,0.0029907786294080304,-0.0008685135240305016
56958,0.04725051139834139,0.11029175531587815,0.0,0.0,0.0004614781161245844,0.0006255981722417296,PL,2026-09-03,0.017396783030498505,0.012322902692217044,-0.001974546484362393,-0.003212796318713637,0.0029907786294080313,-0.0008685135240305016
